Title,Genre,Rating,Rating Count,Review Data
Munthiri Kaadu,"Drama, Action",0,0,"In a Village Where they used to Honor Kill Love couples of the opposite cast and in that village A girl and boy from the opposite cast who used to be friends are getting pressure from village people that they love each other . What happens at the End? Whether they succeed or not is the story."
Viduthalai: Part I,"Thriller, Crime, Action",9,2,"Kumaresan, a police constable gets recruited for Operation Ghosthunt, which is implanted to capture Perumal Vaathiyar, who leads a separatist group People's Army which are highly dedicated to fighting against the authorities for commiting atrocities against innocent village women in the name of police interrogations."
Ponniyin Selvan: Part II,"Action, Adventure, Drama",0,0,
Enthiran,"Action, Science Fiction, Fantasy",6.6,180,"Dr. Vasi invents a super-powered robot, Chitti, in his own image. The scientific body, AIRD, that must approve the robot, declines it based on its not having emotions and the ability to make rational judgment. A sudden flash of lightning evokes emotions in the robot, and Chitti is seemingly ready for integration into the human world. Then, Chitti falls in love with Dr. Vasi's fiancée Sana and turns on his creator."
Ponniyin Selvan: Part I,"Action, Adventure, Drama",7.2,42,"The Chola kingdom is under threat from forces both internal and external, and with crown prince Aaditha Karikalan, his younger brother Arunmozhi Varman and the emperor, Sundara Cholar separated by situations, it is up to a messenger to ensure the safety of the kingdom. Can he succeed in his mission, especially with Karikalan's former girlfriend, Nandhini, plotting to bring down the entire Chola empire?"
Tamilarasan,"Action, Drama",0,0,
Pathu Thala,"Action, Thriller",0,0,"An undercover cop goes into the big bad world, a place taken over by a don, where his safety may be compromised."
Kaithi,"Action, Thriller",7.5,77,"Dilli, a convicted criminal, is out on parole to meet his daughter. However, a drug bust sets him off on a mission to save the life of police officers."
Mersal,"Thriller, Action",7.2,90,"A few individuals in the medical profession are murdered or kidnapped, and the cop investigating the case suspects a doctor and arrests him. But is he the one who is behind these crimes? And why are they being committed?"
Psycho,"Thriller, Drama",5,26,"Based on the Buddhist tale of Angulimala, a dreaded serial killer, Psycho tells the story of a blind man who gets involved in a murder mystery. trying to save his lover from a psychopath who has kidnapped her."
Beast,"Action, Comedy, Thriller",5.8,46,"A former RAW officer, who is among the hostages in a mall taken over by terrorists, has to foil their plans and prevent the government from releasing a dreaded terrorist, who he had helped put in prison at great personal cost."
2.0,"Action, Science Fiction, Fantasy",6.1,121,"An ornithologist who commits suicide returns as fifth force to wreack vengeance on mankind for harming birds with mobile phone radiation. The only thing that is standing in his way is 2.0, the upgraded version of Chitti, the robot."
Ratsasan,"Action, Thriller, Crime",7.5,112,"A serial killer is murdering school girls, and a newbie cop has to track him down before the victim count increases."
Vikram,"Action, Thriller",7.3,63,"Amar is assigned to investigate a case of serial killings. When Amar investigates the case, he realizes it is not what it seems to be and following down this path will lead to nothing but war between everyone involved."
Anniyan,"Action, Drama, Thriller",7.5,79,"Unable to bear the growing corruption in society and rejection from his love interest,  a meek lawyer becomes diagnosed with multiple personality disorder due to which the personalities of  a vigilante killer and a supermodel start existing within him."
Varisu,"Action, Drama, Comedy, Family",6.1,19,"Vijay, The prodigal son of business tycoon Rajendran agrees to take over the reins of the business, much to the chagrin of his brothers. But can Vijay prove himself to be a worthy varisu and also reunite his now-broken family?"
Vikram Vedha,"Action, Thriller, Crime",7.4,144,A notorious gangster Vedha surrenders himself to encounter specialist Vikram whom he challenges every step of the way by narrating his life events in the form of riddles that needs to be solved in order to capture him.
Sivaji: The Boss,"Action, Drama",7.1,100,A software engineer arrives in India to serve the nation and invest in the country's welfare. A few corrupt officials and politicians try to stop him while he tries to overcome the obstacles.
Soorarai Pottru,"Drama, Action",7.8,58,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
Vaathi,"Drama, Action",6.2,5,An assistant maths teacher takes up a tedious task of transforming underprivileged students despite the politics around education in the 90s.
Jai Bhim,"Crime, Drama, Mystery",7.4,78,"A pregnant woman from a primitive tribal community, searches desperately for her husband, who is missing from police custody. So as to find her husband and seek justice for them, as their voice, a High Court advocate rises in support. Will their battle for justice succeed?"
Asuran,"Action, Drama",7.8,65,A family from the underprivileged class is on the run after the teenaged son kills a rich man from the upper caste. Can the pacifist father be able to save his hot-blooded son?
24,"Action, Science Fiction, Thriller",7.3,90,A scientist invents a time machine but his evil twin brother is after it and will go to any lengths to get the device in his hands.
Bigil,"Action, Drama",6.6,53,"A do-gooder don wants his footballer son to uplift the life of his people by becoming a champion, but fate draws the youngster into a life of violence. Will he be able to fulfill his father’s dream when an opportunity comes his way seven years later?"
96,Romance,7.6,83,"Ram is a photographer and nature lover who travels all around India capturing moments. On a chance visit to his hometown Tanjavur, he goes into his school and begins to walk down memory lane to 1994 when he was a student harboring feelings for his classmate Janu."
Irudhi Suttru,"Action, Drama",7.4,46,"A grumpy boxing coach takes on a young, rebellious woman under his wings and starts training her for the world championship. But their biggest battle has to be fought outside the ring."
1947 August 16,Comedy,0,0,
Thuppakki,"Action, Thriller",7.1,75,An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.
Ghajini,"Action, Romance, Thriller",6.9,70,"After being hit by an iron rod, Sanjay Ramaswamy, a business tycoon, suffers from anterograde amnesia. He is unable to remember anything beyond fifteen minutes. Under such circumstances, he sets out on a quest to find the people who were responsible for his lover Kalpana's murder."
Kabali,"Action, Crime, Drama",6,68,A gangster in Malaysia goes in search of his family after 25 years of imprisonment.
Visaranai,"Drama, Thriller",8,54,"Pandi and his friends, immigrant workers in Andhra Pradesh, are picked up by cops for a crime they never committed. And thus begins their nightmare, where they become pawns in a vicious game where the voiceless are strangled by those with power."
Theri,Action,6.6,70,"When an honest cop, Vijay Kumar's family is ruthlessly slaughtered by a politician and his aides, he decides to change his identity and commits his life to bring his daughter up in a serene atmosphere. But some freak events end up compromising his identity and what he does to save his daughter and avenge the death of his family unfurls as Theri."
Mankatha,"Action, Thriller",6.6,56,"Vinayak, a suspended cop, helps a group of four men rob cricket betting money amounting to 500 crores INR. When it comes to splitting the amount, betrayal hits the team hard and a chase ensues."
Yevan,,0,0,
Ayan,"Action, Romance, Comedy",7,58,"Deva works for Arumugam, a smuggler, who has taken care of him for many years. However, when his best friend gets killed, Deva decides to help the police to nab a dangerous drug lord."
Ghilli,"Action, Comedy, Family, Romance",6.9,54,"Muthu Pandi, a village strongman, decides to marry Dhanalakshmi, and begins his quest by eliminating everyone who opposes their union - starting with both her brothers. In desperation, Dhanalakshmi decides to escape from the village, and in the process is unwittingly assisted by a university Kabaddi player Velu."
Petta,"Drama, Action",7.2,66,"A hostel warden becomes the target of a dreaded politician and his gangster son, but little do they realise that it is they who should fear him."
Kannitheevu,"Thriller, Mystery",0,0,"Four women, who reside in North Chennai, take on a few prominent political figures while dealing with a major issue in their locality. While the protest initially fetches them recognition, it eventually spells trouble for them."
